time,SO4_sfc_diff,SO2_sfc_diff,DMS_sfc_diff,HMS_sfc_diff,SS_sfc_diff,SF_sfc_diff,NK_sfc_diff
2022-07-24 02:00:00,1.935421453885808e-11,6.963335715172585e-11,4.2612601930900626e-11,3.062607792733257e-13,-1.6544305435031318e-14,8.94283834687366e-12,-54119815.120010376
2022-07-24 03:00:00,2.1060438554065463e-11,7.205465526557433e-11,3.945533239910299e-11,3.353266571276191e-13,-1.6750310616622516e-14,9.989370984571907e-12,82331150.61860657
2022-07-24 04:00:00,2.3027060002932568e-11,7.410511992276924e-11,3.687254194372374e-11,3.62769982719876e-13,-1.620724104415753e-14,1.1305585786839184e-11,182463829.16023254
2022-07-24 05:00:00,2.5179407092734324e-11,7.526743047033491e-11,3.3826575433716446e-11,3.921180158432805e-13,-1.5926956808348906e-14,1.2741729159375844e-11,239493862.97262573
2022-07-24 06:00:00,2.703584456816761e-11,7.554817206935125e-11,3.2112217492295055e-11,3.982020077295012e-13,-1.5390356492618376e-14,1.4217978951145091e-11,257240191.85754395
2022-07-24 07:00:00,2.8306593896707128e-11,7.469298435615145e-11,3.190889248351765e-11,3.963325101938112e-13,-1.456321088428092e-14,1.526862188784918e-11,257904170.17185974
2022-07-24 08:00:00,2.9001705159268818e-11,7.299986529214812e-11,3.3231065736894164e-11,3.9694040057559285e-13,-1.4007299360516599e-14,1.570223234332235e-11,243223494.35421753
2022-07-24 09:00:00,2.9271418990924915e-11,7.086974319784795e-11,3.581636776681159e-11,3.9940530211225974e-13,-1.3674681002155966e-14,1.5707908899178204e-11,251574872.26078796
2022-07-24 10:00:00,2.9396564029606116e-11,7.649208355471901e-11,3.053592423377734e-11,4.038831365550975e-13,-1.2819309674385305e-14,1.5388131942157915e-11,220820340.54141235
2022-07-24 11:00:00,2.956327658327152e-11,9.367662412765925e-11,1.2369102237339432e-11,4.089217623235125e-13,-1.2303222780237503e-14,1.5100765802827666e-11,197727995.21681213
